domain,paper_id,task_id,state,primary_reject_reason,reasons,B_valid,F_valid,S_valid,B_successes,F_successes,S_successes,margin_blocks,full_tokens,slice_tokens,slice_token_ratio
agent_tool_use,agent_react,AGENT-RA-01,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,280,165,0.5892857142857143
agent_tool_use,agent_react,AGENT-RA-02,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,278,163,0.5863309352517986
agent_tool_use,agent_reflexion,AGENT-RF-01,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,268,153,0.5708955223880597
agent_tool_use,agent_reflexion,AGENT-RF-02,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,274,159,0.5802919708029197
agent_tool_use,agent_toolformer,AGENT-TF-01,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,269,154,0.5724907063197026
agent_tool_use,agent_toolformer,AGENT-TF-02,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,1,6,272,157,0.5772058823529411
data_analysis,data_hdbscan,DATA-HDB-01,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,281,166,0.5907473309608541
data_analysis,data_hdbscan,DATA-HDB-02,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,278,163,0.5863309352517986
data_analysis,data_leiden,DATA-LEI-01,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,271,156,0.5756457564575646
data_analysis,data_leiden,DATA-LEI-02,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,264,149,0.5643939393939394
data_analysis,data_snapatac2,DATA-SNAP-01,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,275,160,0.5818181818181818
data_analysis,data_snapatac2,DATA-SNAP-02,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,279,164,0.5878136200716846
nlp,nlp_context_sentence_compression,NLP-CSE-01,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,265,150,0.5660377358490566
nlp,nlp_context_sentence_compression,NLP-CSE-02,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,265,150,0.5660377358490566
nlp,nlp_llmlingua2,NLP-LL2-01,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,271,156,0.5756457564575646
nlp,nlp_llmlingua2,NLP-LL2-02,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,282,167,0.5921985815602837
nlp,nlp_llmlingua,NLP-LLM-01,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,285,170,0.5964912280701754
nlp,nlp_llmlingua,NLP-LLM-02,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,272,157,0.5772058823529411
software_engineering,se_creduce,SE-CR-01,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,268,153,0.5708955223880597
software_engineering,se_creduce,SE-CR-02,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,277,162,0.5848375451263538
software_engineering,se_delta_debugging,SE-DD-01,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,286,171,0.5979020979020979
software_engineering,se_delta_debugging,SE-DD-02,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,262,147,0.5610687022900763
software_engineering,se_perses,SE-PE-01,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,278,163,0.5863309352517986
software_engineering,se_perses,SE-PE-02,Reject,F_insufficient,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,6,6,0,0,0,6,266,151,0.5676691729323309
