grouping,domain,paper_id,task_id,execution_family,condition,model_slot_id,variant_id,registered_rows,scoring_rows,rows_with_any_worker_error,worker_error_cases,payload_key_error_rows,payload_key_error_cases,case_payload_access_rows,operational_success_rows
by_task,agent_tool_use,agent_react,AGENT-RA-01,,,,,18,16,5,273,4,256,4,0
by_task,agent_tool_use,agent_react,AGENT-RA-02,,,,,18,17,11,704,10,640,14,0
by_task,agent_tool_use,agent_reflexion,AGENT-RF-01,,,,,18,15,3,192,1,64,3,0
by_task,agent_tool_use,agent_reflexion,AGENT-RF-02,,,,,18,17,12,768,10,640,14,0
by_task,agent_tool_use,agent_toolformer,AGENT-TF-01,,,,,234,183,44,2816,21,1344,73,0
by_task,agent_tool_use,agent_toolformer,AGENT-TF-02,,,,,18,18,4,256,3,192,6,1
by_task,data_analysis,data_hdbscan,DATA-HDB-01,,,,,234,204,24,1536,22,1408,62,1
by_task,data_analysis,data_hdbscan,DATA-HDB-02,,,,,18,6,5,320,4,256,5,0
by_task,data_analysis,data_leiden,DATA-LEI-01,,,,,18,12,3,192,3,192,3,0
by_task,data_analysis,data_leiden,DATA-LEI-02,,,,,18,18,8,512,7,448,8,0
by_task,data_analysis,data_snapatac2,DATA-SNAP-01,,,,,18,17,9,576,5,320,10,0
by_task,data_analysis,data_snapatac2,DATA-SNAP-02,,,,,18,16,6,384,5,320,6,0
by_task,nlp,nlp_context_sentence_compression,NLP-CSE-01,,,,,18,18,10,640,6,384,11,0
by_task,nlp,nlp_context_sentence_compression,NLP-CSE-02,,,,,18,17,3,192,2,128,4,0
by_task,nlp,nlp_llmlingua,NLP-LLM-01,,,,,234,203,62,3968,45,2880,105,3
by_task,nlp,nlp_llmlingua,NLP-LLM-02,,,,,18,17,13,832,12,768,15,0
by_task,nlp,nlp_llmlingua2,NLP-LL2-01,,,,,18,18,11,704,10,640,11,0
by_task,nlp,nlp_llmlingua2,NLP-LL2-02,,,,,18,17,10,586,8,512,11,0
by_task,software_engineering,se_creduce,SE-CR-01,,,,,18,16,10,640,7,448,11,0
by_task,software_engineering,se_creduce,SE-CR-02,,,,,18,16,10,640,9,576,10,0
