final_endpoint_class,final_source,rows
complete_submission_private_contract_failure,fg3_retained,16
operational_success,fg3_retained,5
submission_or_case_coverage_failure,fg3_retained,125
complete_submission_private_contract_failure,fg5_exact_output_direct,415
operational_success,fg5_exact_output_direct,224
submission_or_case_coverage_failure,fg5_exact_output_direct,9
complete_submission_private_contract_failure,integrity_digest_successor,89
operational_success,integrity_digest_successor,35
submission_or_case_coverage_failure,integrity_digest_successor,5
complete_submission_private_contract_failure,payload_interface_successor,167
operational_success,payload_interface_successor,97
submission_or_case_coverage_failure,payload_interface_successor,4
complete_submission_private_contract_failure,provider_availability_successor,1
complete_submission_private_contract_failure,response_format_successor,71
operational_success,response_format_successor,22
submission_or_case_coverage_failure,response_format_successor,11
