final_endpoint_class,original_technical_class,rows
complete_submission_private_contract_failure,exact_output_contract,435
operational_success,exact_output_contract,236
submission_or_case_coverage_failure,exact_output_contract,13
complete_submission_private_contract_failure,experimental_outcome_not_technical_error,16
submission_or_case_coverage_failure,experimental_outcome_not_technical_error,125
complete_submission_private_contract_failure,integrity_or_digest,87
operational_success,integrity_or_digest,28
submission_or_case_coverage_failure,integrity_or_digest,5
operational_success,operational_success,5
complete_submission_private_contract_failure,payload_input_interface,167
operational_success,payload_input_interface,97
submission_or_case_coverage_failure,payload_input_interface,4
complete_submission_private_contract_failure,provider_availability,1
complete_submission_private_contract_failure,response_format,53
operational_success,response_format,17
submission_or_case_coverage_failure,response_format,7
