task_id,domain,registry_id,arm_id,contrast_role,dependency_closed,candidate_atom_count,candidate_tokens,candidate_bytes,execution_order,execution_id,terminal_outcome,semantic_valid,operational_success,private_score,hard_vector_0,hard_vector_1,transport_attempts,provider_finish_reason,termination_reason,elapsed_ms,provider_input_tokens,provider_output_tokens,provider_total_tokens
AGENT-TF-01,agent_tool_use,A,F,full_information_baseline,True,12,269,1530,30,s07-agent-tf-01-a-f-6086a66ba30a87d8,operational_success,True,True,1.0,True,True,1,stop,provider_stop,12266,2171,1515,3686
AGENT-TF-01,agent_tool_use,A,S,registered_slice_baseline,True,8,154,883,35,s07-agent-tf-01-a-s-bc3c37e09c78ff6f,operational_success,True,True,1.0,True,True,1,stop,provider_stop,9984,2056,1054,3110
AGENT-TF-01,agent_tool_use,A,F_drop_critical,critical_atom_necessity,False,11,242,1382,10,s07-agent-tf-01-a-f-drop-critical-2e00634c32da7e62,hard_contract_failure,True,False,0.0,True,False,1,stop,provider_stop,11516,2144,1327,3471
AGENT-TF-01,agent_tool_use,A,F_drop_noncritical,noncritical_comparator_necessity,False,11,239,1368,1,s07-agent-tf-01-a-f-drop-noncritical-3c947a23eb910d53,hard_contract_failure,True,False,0.0,True,False,1,stop,provider_stop,8719,2141,954,3095
AGENT-TF-01,agent_tool_use,A,S_restore_critical,critical_atom_rescue,False,9,181,1031,11,s07-agent-tf-01-a-s-restore-critical-243729fcb648bf8e,hard_contract_failure,True,False,0.0,True,False,1,stop,provider_stop,20813,2084,2396,4480
AGENT-TF-01,agent_tool_use,A,S_restore_noncritical,noncritical_comparator_rescue,True,9,184,1045,13,s07-agent-tf-01-a-s-restore-noncritical-b83914771460b4e6,operational_success,True,True,1.0,True,True,1,stop,provider_stop,17422,2087,2036,4123
AGENT-TF-01,agent_tool_use,B,F,full_information_baseline,True,12,269,1530,43,s07-agent-tf-01-b-f-af3068de47a60537,hard_contract_failure,True,False,0.0,True,False,1,stop,provider_stop,10656,2164,1157,3321
AGENT-TF-01,agent_tool_use,B,S,registered_slice_baseline,True,8,154,883,37,s07-agent-tf-01-b-s-5be31fc156152ebd,operational_success,True,True,1.0,True,True,1,stop,provider_stop,7516,2049,876,2925
AGENT-TF-01,agent_tool_use,B,F_drop_critical,critical_atom_necessity,False,11,242,1382,14,s07-agent-tf-01-b-f-drop-critical-7b0b6d135a9c48b1,hard_contract_failure,True,False,0.0,True,False,1,stop,provider_stop,8094,2137,835,2972
AGENT-TF-01,agent_tool_use,B,F_drop_noncritical,noncritical_comparator_necessity,False,11,239,1368,33,s07-agent-tf-01-b-f-drop-noncritical-72cd964cf101ebd4,hard_contract_failure,True,False,0.0,True,False,1,stop,provider_stop,43734,2134,6590,8724
AGENT-TF-01,agent_tool_use,B,S_restore_critical,critical_atom_rescue,False,9,181,1031,8,s07-agent-tf-01-b-s-restore-critical-363180fe61297276,hard_contract_failure,True,False,0.0,True,False,1,stop,provider_stop,19016,2077,2129,4206
AGENT-TF-01,agent_tool_use,B,S_restore_noncritical,noncritical_comparator_rescue,True,9,184,1045,38,s07-agent-tf-01-b-s-restore-noncritical-73d3fb226d10d543,hard_contract_failure,True,False,0.0,True,False,1,stop,provider_stop,8875,2080,1063,3143
DATA-HDB-01,data_analysis,A,F,full_information_baseline,True,12,281,1537,42,s07-data-hdb-01-a-f-b7b5a5edce93cfbc,hard_contract_failure,True,False,0.71875,True,False,1,stop,provider_stop,19265,2017,2586,4603
DATA-HDB-01,data_analysis,A,S,registered_slice_baseline,True,8,166,890,27,s07-data-hdb-01-a-s-8195a4515b75bfbe,hard_contract_failure,True,False,0.71875,True,False,1,stop,provider_stop,24578,1902,3166,5068
DATA-HDB-01,data_analysis,A,F_drop_critical,critical_atom_necessity,False,11,254,1389,6,s07-data-hdb-01-a-f-drop-critical-90ea97df8cdb6a4b,hard_contract_failure,True,False,0.71875,True,False,1,stop,provider_stop,35781,1990,4274,6264
DATA-HDB-01,data_analysis,A,F_drop_noncritical,noncritical_comparator_necessity,False,11,251,1375,48,s07-data-hdb-01-a-f-drop-noncritical-9acb5a2158b8fe66,hard_contract_failure,True,False,0.71875,True,False,1,stop,provider_stop,10015,1987,1176,3163
DATA-HDB-01,data_analysis,A,S_restore_critical,critical_atom_rescue,False,9,193,1038,23,s07-data-hdb-01-a-s-restore-critical-56f0c2af07bf114f,hard_contract_failure,True,False,0.71875,True,False,1,stop,provider_stop,20953,1930,2572,4502
DATA-HDB-01,data_analysis,A,S_restore_noncritical,noncritical_comparator_rescue,True,9,196,1052,24,s07-data-hdb-01-a-s-restore-noncritical-7503fb09fc529c18,hard_contract_failure,True,False,0.71875,True,False,1,stop,provider_stop,27500,1933,3527,5460
DATA-HDB-01,data_analysis,B,F,full_information_baseline,True,12,281,1537,31,s07-data-hdb-01-b-f-1a964629b511fa35,hard_contract_failure,True,False,0.875,True,False,1,stop,provider_stop,9484,2021,964,2985
DATA-HDB-01,data_analysis,B,S,registered_slice_baseline,True,8,166,890,32,s07-data-hdb-01-b-s-d41ebed0b46e353c,hard_contract_failure,True,False,0.875,True,False,1,stop,provider_stop,9891,1906,1047,2953
DATA-HDB-01,data_analysis,B,F_drop_critical,critical_atom_necessity,False,11,254,1389,45,s07-data-hdb-01-b-f-drop-critical-40873945ad403f9b,hard_contract_failure,True,False,0.875,True,False,1,stop,provider_stop,16078,1994,2142,4136
