condition,domain,execution_family,final_endpoint_class,final_source,global_sequence_index,hard_contract_vector,model_slot_id,original_technical_class,paper_id,private_score,result_source_sha256,task_id,terminal_outcome,variant_id
B,nlp,primary,complete_submission_private_contract_failure,payload_interface_successor,1,"[true,false]",deepseek_primary,payload_input_interface,nlp_llmlingua,0.25,0dcccaf5953d7ff547b9f604b89f812fba8b01794afb4bdcffaba38901c16017,NLP-LLM-01,hard_contract_failure,primary_dag_ratio_60_v1
F,nlp,primary,operational_success,response_format_successor,2,"[true,true]",deepseek_primary,exact_output_contract,nlp_llmlingua,1.0,90485796b9a4e8b76b980f05454518a92cb8d189a63eb6ccfbf0827fa4007acf,NLP-LLM-01,operational_success,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,fg5_exact_output_direct,3,"[true,true]",deepseek_primary,exact_output_contract,nlp_llmlingua,1.0,00f4f08b17f037c4a0b727ad72defa1f7f185c54091d677e2132816a4f8e1b0c,NLP-LLM-01,operational_success,primary_dag_ratio_60_v1
F,nlp,primary,submission_or_case_coverage_failure,fg3_retained,4,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,nlp_llmlingua,0.0,42408afe56be00e0d95494a093608f848abfca7dc472c89c897808fad4df41b7,NLP-LLM-01,hard_contract_failure,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,payload_interface_successor,5,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua,1.0,952422d3782abc67c98e4f390e79198c61c0fbb09791a996b074652411181a42,NLP-LLM-01,operational_success,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,6,"[true,false]",deepseek_primary,exact_output_contract,nlp_llmlingua,0.25,26582f0aab3946dce62171b5ca772bb79edc88510ca0db3c7a556c38b5ea0a71,NLP-LLM-01,hard_contract_failure,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,fg5_exact_output_direct,7,"[true,true]",deepseek_primary,exact_output_contract,nlp_llmlingua,1.0,6b7f0543e3d09392cb4c66c039b39fbe8082a2b8666b34c2bf2bdf52031e92e9,NLP-LLM-01,operational_success,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,8,"[true,false]",deepseek_primary,exact_output_contract,nlp_llmlingua,0.25,ab1ee30d03b48d9adc712328d8047474399513a0ff74efa3904f979529e9139c,NLP-LLM-01,hard_contract_failure,primary_dag_ratio_60_v1
F,nlp,primary,submission_or_case_coverage_failure,fg3_retained,9,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,nlp_llmlingua,0.0,a8965fb032ddf50b1da16dfee31acaf8deba8c9f8e096e37fa88dd4a2cc95885,NLP-LLM-01,hard_contract_failure,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,payload_interface_successor,10,"[true,false]",deepseek_primary,payload_input_interface,nlp_llmlingua,0.15625,4160ef6ee32e98988118ca553eee0ba0916f8dd02bb7f82f491feb965a66d8a4,NLP-LLM-01,hard_contract_failure,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,fg5_exact_output_direct,11,"[true,true]",deepseek_primary,exact_output_contract,nlp_llmlingua,1.0,f0ecdb29e95c5936bc45c7fef5945be6f501e0e838c66755b28170093fa50d09,NLP-LLM-01,operational_success,primary_dag_ratio_60_v1
F,nlp,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,12,"[true,false]",deepseek_primary,exact_output_contract,nlp_llmlingua,0.828125,09912afeaa1d312d8d6a338e30c7a3fd05be38d0a7aaaf169cb76ba1252156b8,NLP-LLM-01,hard_contract_failure,primary_dag_ratio_60_v1
F,nlp,primary,operational_success,payload_interface_successor,13,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua,1.0,57d2b786f9fd0da128dfea10f05990d109624bcca1d4de73109d19dc8d0a1abe,NLP-LLM-01,operational_success,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,14,"[true,false]",deepseek_primary,exact_output_contract,nlp_llmlingua,0.15625,2afb1f3a3cc45d9d74b75d3b55cfeeba0c31c009507cdfde0033144afd56ac4c,NLP-LLM-01,hard_contract_failure,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,payload_interface_successor,15,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua,1.0,2aab20384a72d27a4d8b7f20f540481851fdb9d2ffe2453004b1cc603232a997,NLP-LLM-01,operational_success,primary_dag_ratio_60_v1
S,nlp,primary,operational_success,fg5_exact_output_direct,16,"[true,true]",deepseek_primary,exact_output_contract,nlp_llmlingua,1.0,f92d41d26e24e6f71d96732bf8c67bea4023f544aeec34c075ab36c469b3c359,NLP-LLM-01,operational_success,primary_dag_ratio_60_v1
F,nlp,primary,operational_success,payload_interface_successor,17,"[true,true]",deepseek_primary,payload_input_interface,nlp_llmlingua,1.0,d5e39c6c630531d9341c845b71c12c0f0f2ebe785d4ec8208c064f1409c88578,NLP-LLM-01,operational_success,primary_dag_ratio_60_v1
B,nlp,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,18,"[true,false]",deepseek_primary,exact_output_contract,nlp_llmlingua,0.15625,7441688af9d457280f1f92a19e7bc01b46d4b6770b8c84f3067390dcd6b6223b,NLP-LLM-01,hard_contract_failure,primary_dag_ratio_60_v1
B,software_engineering,primary,complete_submission_private_contract_failure,fg5_exact_output_direct,19,"[true,false]",deepseek_primary,exact_output_contract,se_delta_debugging,0.0,dcb85260b6207944a94639e16a24be8b6d3ab896bf76c6b3b619fac94a8d2fce,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
F,software_engineering,primary,submission_or_case_coverage_failure,fg3_retained,20,"[false,false]",deepseek_primary,experimental_outcome_not_technical_error,se_delta_debugging,0.0,13694bbeac331ea48b8eab92a74527367beb08bd8d0a2330ede094f8a3545520,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
S,software_engineering,primary,complete_submission_private_contract_failure,payload_interface_successor,21,"[true,false]",deepseek_primary,payload_input_interface,se_delta_debugging,0.0,eeed154feee6ba52a1929d91664f24e0696a850dee0c75628ce102d8dc5eef56,SE-DD-01,hard_contract_failure,primary_dag_ratio_60_v1
