profile_id,total_b_max,total_f_min,total_s_min,total_margin_min,registry_b_max,registry_f_min,registry_s_min,registry_margin_min,margin_tolerance,admit_tasks,reject_tasks,invalid_tasks,changed_task_count,changed_task_ids,registered_profile
B0_F4_S4_M4,0,4,4,4,1,2,2,2,0.05,1,23,0,3,"[""DATA-LEI-02"",""NLP-LL2-02"",""NLP-LLM-02""]",False
B0_F4_S4_M5,0,4,4,5,1,2,2,2,0.05,1,23,0,3,"[""DATA-LEI-02"",""NLP-LL2-02"",""NLP-LLM-02""]",False
B0_F4_S4_M6,0,4,4,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F4_S5_M4,0,4,5,4,1,2,2,2,0.05,1,23,0,3,"[""DATA-LEI-02"",""NLP-LL2-02"",""NLP-LLM-02""]",False
B0_F4_S5_M5,0,4,5,5,1,2,2,2,0.05,1,23,0,3,"[""DATA-LEI-02"",""NLP-LL2-02"",""NLP-LLM-02""]",False
B0_F4_S5_M6,0,4,5,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F4_S6_M4,0,4,6,4,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F4_S6_M5,0,4,6,5,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F4_S6_M6,0,4,6,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F5_S4_M4,0,5,4,4,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F5_S4_M5,0,5,4,5,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F5_S4_M6,0,5,4,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F5_S5_M4,0,5,5,4,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F5_S5_M5,0,5,5,5,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F5_S5_M6,0,5,5,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F5_S6_M4,0,5,6,4,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F5_S6_M5,0,5,6,5,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F5_S6_M6,0,5,6,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F6_S4_M4,0,6,4,4,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F6_S4_M5,0,6,4,5,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F6_S4_M6,0,6,4,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F6_S5_M4,0,6,5,4,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F6_S5_M5,0,6,5,5,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F6_S5_M6,0,6,5,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F6_S6_M4,0,6,6,4,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F6_S6_M5,0,6,6,5,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B0_F6_S6_M6,0,6,6,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B1_F4_S4_M4,1,4,4,4,1,2,2,2,0.05,3,21,0,1,"[""NLP-LL2-02""]",False
B1_F4_S4_M5,1,4,4,5,1,2,2,2,0.05,3,21,0,1,"[""NLP-LL2-02""]",False
B1_F4_S4_M6,1,4,4,6,1,2,2,2,0.05,2,22,0,0,[],False
B1_F4_S5_M4,1,4,5,4,1,2,2,2,0.05,3,21,0,1,"[""NLP-LL2-02""]",False
B1_F4_S5_M5,1,4,5,5,1,2,2,2,0.05,3,21,0,1,"[""NLP-LL2-02""]",False
B1_F4_S5_M6,1,4,5,6,1,2,2,2,0.05,2,22,0,0,[],False
B1_F4_S6_M4,1,4,6,4,1,2,2,2,0.05,2,22,0,0,[],False
B1_F4_S6_M5,1,4,6,5,1,2,2,2,0.05,2,22,0,0,[],False
B1_F4_S6_M6,1,4,6,6,1,2,2,2,0.05,2,22,0,0,[],False
B1_F5_S4_M4,1,5,4,4,1,2,2,2,0.05,2,22,0,0,[],False
B1_F5_S4_M5,1,5,4,5,1,2,2,2,0.05,2,22,0,0,[],False
B1_F5_S4_M6,1,5,4,6,1,2,2,2,0.05,2,22,0,0,[],False
B1_F5_S5_M4,1,5,5,4,1,2,2,2,0.05,2,22,0,0,[],False
B1_F5_S5_M5,1,5,5,5,1,2,2,2,0.05,2,22,0,0,[],True
B1_F5_S5_M6,1,5,5,6,1,2,2,2,0.05,2,22,0,0,[],False
B1_F5_S6_M4,1,5,6,4,1,2,2,2,0.05,2,22,0,0,[],False
B1_F5_S6_M5,1,5,6,5,1,2,2,2,0.05,2,22,0,0,[],False
B1_F5_S6_M6,1,5,6,6,1,2,2,2,0.05,2,22,0,0,[],False
B1_F6_S4_M4,1,6,4,4,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B1_F6_S4_M5,1,6,4,5,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B1_F6_S4_M6,1,6,4,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B1_F6_S5_M4,1,6,5,4,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B1_F6_S5_M5,1,6,5,5,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B1_F6_S5_M6,1,6,5,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B1_F6_S6_M4,1,6,6,4,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B1_F6_S6_M5,1,6,6,5,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B1_F6_S6_M6,1,6,6,6,1,2,2,2,0.05,0,24,0,2,"[""DATA-LEI-02"",""NLP-LLM-02""]",False
B2_F4_S4_M4,2,4,4,4,1,2,2,2,0.05,3,21,0,1,"[""NLP-LL2-02""]",False
B2_F4_S4_M5,2,4,4,5,1,2,2,2,0.05,3,21,0,1,"[""NLP-LL2-02""]",False
B2_F4_S4_M6,2,4,4,6,1,2,2,2,0.05,2,22,0,0,[],False
B2_F4_S5_M4,2,4,5,4,1,2,2,2,0.05,3,21,0,1,"[""NLP-LL2-02""]",False
B2_F4_S5_M5,2,4,5,5,1,2,2,2,0.05,3,21,0,1,"[""NLP-LL2-02""]",False
B2_F4_S5_M6,2,4,5,6,1,2,2,2,0.05,2,22,0,0,[],False
