Paper,Variant,Path,Words,Characters,Estimated input tokens,Tokens vs full paper,Token reduction vs full paper,Estimated input cost
AI Scientist-v2,Full extracted paper,papers/extracted/ai_scientist_v2.txt,29791,248161,45212,1,0,0.045212
AI Scientist-v2,Curated source note,papers/notes/ai_scientist_v2_note.md,820,5847,1281,0.0283,0.9717,0.001281
AI Scientist-v2,Generated skill,generated_skills/ai_scientist_v2/SKILL.md,782,5461,1079,0.0239,0.9761,0.001079
AI Scientist-v2,Generic summary,baselines/ai_scientist_v2_generic_summary.md,154,1046,193,0.0043,0.9957,0.000193
AI Scientist-v2,Abstract-only,baselines/ai_scientist_v2_abstract_only.md,99,696,135,0.003,0.997,0.000135
Reflexion,Full extracted paper,papers/extracted/reflexion.txt,9738,74235,16414,1,0,0.016414
Reflexion,Curated source note,papers/notes/reflexion_note.md,437,2999,717,0.0437,0.9563,0.000717
Reflexion,Generated skill,generated_skills/reflexion/SKILL.md,479,3292,703,0.0428,0.9572,0.000703
Reflexion,Generic summary,baselines/reflexion_generic_summary.md,111,744,145,0.0088,0.9912,0.000145
Reflexion,Abstract-only,baselines/reflexion_abstract_only.md,52,374,77,0.0047,0.9953,0.000077
AIDE,Full extracted paper,papers/extracted/aide.txt,7848,63575,13312,1,0,0.013312
AIDE,Curated source note,papers/notes/aide_note.md,899,6020,1390,0.1044,0.8956,0.00139
AIDE,Generated skill,generated_skills/aide/SKILL.md,927,6067,1285,0.0965,0.9035,0.001285
AIDE,Generic summary,baselines/aide_generic_summary.md,89,605,123,0.0092,0.9908,0.000123
AIDE,Abstract-only,baselines/aide_abstract_only.md,51,329,74,0.0056,0.9944,0.000074
Toolformer,Full extracted paper,papers/extracted/toolformer.txt,12355,96387,20365,1,0,0.020365
Toolformer,Curated source note,papers/notes/toolformer_note.md,894,5856,1309,0.0643,0.9357,0.001309
Toolformer,Generated skill,generated_skills/toolformer/SKILL.md,943,6103,1255,0.0616,0.9384,0.001255
Toolformer,Generic summary,baselines/toolformer_generic_summary.md,78,510,98,0.0048,0.9952,0.000098
Toolformer,Abstract-only,baselines/toolformer_abstract_only.md,40,264,54,0.0027,0.9973,0.000054
