contrast_id,task_id,domain,registry_id,positive_arm,negative_arm,positive_outcome,negative_outcome,positive_semantic_valid,negative_semantic_valid,pair_valid,delta_operational_success,delta_private_score,delta_hard_vector_0,delta_hard_vector_1
critical_necessity,AGENT-TF-01,agent_tool_use,A,F,F_drop_critical,operational_success,hard_contract_failure,True,True,True,1,1.0,0,1
critical_necessity,AGENT-TF-01,agent_tool_use,B,F,F_drop_critical,hard_contract_failure,hard_contract_failure,True,True,True,0,0.0,0,0
critical_necessity,DATA-HDB-01,data_analysis,A,F,F_drop_critical,hard_contract_failure,hard_contract_failure,True,True,True,0,0.0,0,0
critical_necessity,DATA-HDB-01,data_analysis,B,F,F_drop_critical,hard_contract_failure,hard_contract_failure,True,True,True,0,0.0,0,0
critical_necessity,NLP-LLM-01,nlp,A,F,F_drop_critical,operational_success,operational_success,True,True,True,0,0.0,0,0
critical_necessity,NLP-LLM-01,nlp,B,F,F_drop_critical,operational_success,operational_success,True,True,True,0,0.0,0,0
critical_necessity,SE-PE-01,software_engineering,A,F,F_drop_critical,operational_success,operational_success,True,True,True,0,0.0,0,0
critical_necessity,SE-PE-01,software_engineering,B,F,F_drop_critical,malformed_or_no_submission,malformed_or_no_submission,False,False,False,0,0.0,,
noncritical_necessity,AGENT-TF-01,agent_tool_use,A,F,F_drop_noncritical,operational_success,hard_contract_failure,True,True,True,1,1.0,0,1
noncritical_necessity,AGENT-TF-01,agent_tool_use,B,F,F_drop_noncritical,hard_contract_failure,hard_contract_failure,True,True,True,0,0.0,0,0
noncritical_necessity,DATA-HDB-01,data_analysis,A,F,F_drop_noncritical,hard_contract_failure,hard_contract_failure,True,True,True,0,0.0,0,0
noncritical_necessity,DATA-HDB-01,data_analysis,B,F,F_drop_noncritical,hard_contract_failure,hard_contract_failure,True,True,True,0,0.875,1,0
noncritical_necessity,NLP-LLM-01,nlp,A,F,F_drop_noncritical,operational_success,operational_success,True,True,True,0,0.0,0,0
noncritical_necessity,NLP-LLM-01,nlp,B,F,F_drop_noncritical,operational_success,operational_success,True,True,True,0,0.0,0,0
noncritical_necessity,SE-PE-01,software_engineering,A,F,F_drop_noncritical,operational_success,operational_success,True,True,True,0,0.0,0,0
noncritical_necessity,SE-PE-01,software_engineering,B,F,F_drop_noncritical,malformed_or_no_submission,operational_success,False,True,False,-1,-1.0,,
critical_rescue,AGENT-TF-01,agent_tool_use,A,S_restore_critical,S,hard_contract_failure,operational_success,True,True,True,-1,-1.0,0,-1
critical_rescue,AGENT-TF-01,agent_tool_use,B,S_restore_critical,S,hard_contract_failure,operational_success,True,True,True,-1,-1.0,0,-1
critical_rescue,DATA-HDB-01,data_analysis,A,S_restore_critical,S,hard_contract_failure,hard_contract_failure,True,True,True,0,0.0,0,0
critical_rescue,DATA-HDB-01,data_analysis,B,S_restore_critical,S,hard_contract_failure,hard_contract_failure,True,True,True,0,0.0,0,0
critical_rescue,NLP-LLM-01,nlp,A,S_restore_critical,S,operational_success,operational_success,True,True,True,0,0.0,0,0
critical_rescue,NLP-LLM-01,nlp,B,S_restore_critical,S,operational_success,operational_success,True,True,True,0,0.0,0,0
critical_rescue,SE-PE-01,software_engineering,A,S_restore_critical,S,hard_contract_failure,hard_contract_failure,True,True,True,0,0.0,0,0
critical_rescue,SE-PE-01,software_engineering,B,S_restore_critical,S,hard_contract_failure,operational_success,True,True,True,-1,-1.0,0,-1
noncritical_rescue,AGENT-TF-01,agent_tool_use,A,S_restore_noncritical,S,operational_success,operational_success,True,True,True,0,0.0,0,0
noncritical_rescue,AGENT-TF-01,agent_tool_use,B,S_restore_noncritical,S,hard_contract_failure,operational_success,True,True,True,-1,-1.0,0,-1
noncritical_rescue,DATA-HDB-01,data_analysis,A,S_restore_noncritical,S,hard_contract_failure,hard_contract_failure,True,True,True,0,0.0,0,0
noncritical_rescue,DATA-HDB-01,data_analysis,B,S_restore_noncritical,S,hard_contract_failure,hard_contract_failure,True,True,True,0,0.0,0,0
noncritical_rescue,NLP-LLM-01,nlp,A,S_restore_noncritical,S,operational_success,operational_success,True,True,True,0,0.0,0,0
noncritical_rescue,NLP-LLM-01,nlp,B,S_restore_noncritical,S,operational_success,operational_success,True,True,True,0,0.0,0,0
noncritical_rescue,SE-PE-01,software_engineering,A,S_restore_noncritical,S,operational_success,hard_contract_failure,True,True,True,1,1.0,0,1
noncritical_rescue,SE-PE-01,software_engineering,B,S_restore_noncritical,S,operational_success,operational_success,True,True,True,0,0.0,0,0
