paper_id,task_id,domain,model_slot_id,paired_blocks,B_operational_success,F_operational_success,S_operational_success,F_minus_B_operational_success,S_minus_B_operational_success,S_minus_F_operational_success,B_private_score,F_private_score,S_private_score,F_minus_B_private_score,S_minus_B_private_score,S_minus_F_private_score
agent_react,AGENT-RA-01,agent_tool_use,deepseek_primary,6,0.0,0.5,0.5,0.5,0.5,0.0,0.13541666666666666,0.53125,0.6328125,0.39583333333333337,0.49739583333333337,0.1015625
agent_react,AGENT-RA-02,agent_tool_use,deepseek_primary,6,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,-0.3333333333333333
agent_reflexion,AGENT-RF-01,agent_tool_use,deepseek_primary,6,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.09635416666666667,0.21354166666666666,0.6223958333333334,0.11718749999999999,0.5260416666666667,0.40885416666666674
agent_reflexion,AGENT-RF-02,agent_tool_use,deepseek_primary,6,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.09895833333333333,0.0,0.015625,-0.08333333333333333,-0.09895833333333333
agent_toolformer,AGENT-TF-01,agent_tool_use,claude_opus_4_7,6,0.0,0.16666666666666666,0.5,0.16666666666666666,0.5,0.33333333333333337,0.0,0.16666666666666666,0.5,0.16666666666666666,0.5,0.33333333333333337
agent_toolformer,AGENT-TF-01,agent_tool_use,deepseek_primary,6,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,-0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,-0.16666666666666666
agent_toolformer,AGENT-TF-01,agent_tool_use,gpt_5_5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agent_toolformer,AGENT-TF-01,agent_tool_use,gpt_5_6_luna,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agent_toolformer,AGENT-TF-01,agent_tool_use,gpt_5_6_sol,6,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5
agent_toolformer,AGENT-TF-01,agent_tool_use,gpt_5_6_terra,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agent_toolformer,AGENT-TF-02,agent_tool_use,deepseek_primary,6,1.0,0.8333333333333334,1.0,-0.16666666666666663,0.0,0.16666666666666663,1.0,0.8333333333333334,1.0,-0.16666666666666663,0.0,0.16666666666666663
data_hdbscan,DATA-HDB-01,data_analysis,claude_opus_4_7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.796875,0.796875,0.796875,0.0,0.0,0.0
data_hdbscan,DATA-HDB-01,data_analysis,deepseek_primary,6,0.0,0.0,0.0,0.0,0.0,0.0,0.6927083333333334,0.5052083333333334,0.796875,-0.1875,0.10416666666666663,0.29166666666666663
data_hdbscan,DATA-HDB-01,data_analysis,gpt_5_5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.5052083333333334,0.8697916666666666,0.796875,0.36458333333333326,0.29166666666666663,-0.07291666666666663
data_hdbscan,DATA-HDB-01,data_analysis,gpt_5_6_luna,6,0.0,0.0,0.0,0.0,0.0,0.0,0.796875,0.7994791666666666,0.796875,0.0026041666666666297,0.0,-0.0026041666666666297
data_hdbscan,DATA-HDB-01,data_analysis,gpt_5_6_sol,6,0.3333333333333333,0.0,0.0,-0.3333333333333333,-0.3333333333333333,0.0,0.8645833333333334,0.875,0.796875,0.01041666666666663,-0.06770833333333337,-0.078125
data_hdbscan,DATA-HDB-01,data_analysis,gpt_5_6_terra,6,0.0,0.0,0.0,0.0,0.0,0.0,0.796875,0.8203125,0.796875,0.0234375,0.0,-0.0234375
data_hdbscan,DATA-HDB-02,data_analysis,deepseek_primary,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_leiden,DATA-LEI-01,data_analysis,deepseek_primary,6,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.09895833333333333,0.3697916666666667,0.3046875,0.27083333333333337,0.20572916666666669,-0.06510416666666669
data_leiden,DATA-LEI-02,data_analysis,deepseek_primary,6,0.16666666666666666,0.8333333333333334,1.0,0.6666666666666667,0.8333333333333334,0.16666666666666663,0.16666666666666666,0.8333333333333334,1.0,0.6666666666666667,0.8333333333333334,0.16666666666666663
data_snapatac2,DATA-SNAP-01,data_analysis,deepseek_primary,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_snapatac2,DATA-SNAP-02,data_analysis,deepseek_primary,6,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,-0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,-0.16666666666666666
nlp_context_sentence_compression,NLP-CSE-01,nlp,deepseek_primary,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nlp_context_sentence_compression,NLP-CSE-02,nlp,deepseek_primary,6,0.0,0.0,0.0,0.0,0.0,0.0,0.6328125,0.3489583333333333,0.6875,-0.2838541666666667,0.0546875,0.3385416666666667
nlp_llmlingua,NLP-LLM-01,nlp,claude_opus_4_7,6,0.0,0.5,1.0,0.5,1.0,0.5,0.041666666666666664,0.5,1.0,0.4583333333333333,0.9583333333333334,0.5
nlp_llmlingua,NLP-LLM-01,nlp,deepseek_primary,6,0.0,0.5,1.0,0.5,1.0,0.5,0.203125,0.6380208333333334,1.0,0.43489583333333337,0.796875,0.36197916666666663
nlp_llmlingua,NLP-LLM-01,nlp,gpt_5_5,6,0.0,1.0,1.0,1.0,1.0,0.0,0.3098958333333333,1.0,1.0,0.6901041666666667,0.6901041666666667,0.0
nlp_llmlingua,NLP-LLM-01,nlp,gpt_5_6_luna,6,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.203125,0.8333333333333334,0.8333333333333334,0.6302083333333334,0.6302083333333334,0.0
nlp_llmlingua,NLP-LLM-01,nlp,gpt_5_6_sol,6,0.0,1.0,1.0,1.0,1.0,0.0,0.24479166666666666,1.0,1.0,0.7552083333333334,0.7552083333333334,0.0
nlp_llmlingua,NLP-LLM-01,nlp,gpt_5_6_terra,6,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.2552083333333333,0.8333333333333334,0.8333333333333334,0.578125,0.578125,0.0
nlp_llmlingua,NLP-LLM-02,nlp,deepseek_primary,6,0.16666666666666666,0.8333333333333334,1.0,0.6666666666666667,0.8333333333333334,0.16666666666666663,0.21354166666666666,0.8333333333333334,1.0,0.6197916666666667,0.7864583333333334,0.16666666666666663
nlp_llmlingua2,NLP-LL2-01,nlp,deepseek_primary,6,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666674,0.16666666666666674,0.0,0.6953125,0.8333333333333334,0.8489583333333334,0.13802083333333337,0.15364583333333337,0.015625
nlp_llmlingua2,NLP-LL2-02,nlp,deepseek_primary,6,0.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.16666666666666674,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.0,0.16666666666666674,0.16666666666666674
se_creduce,SE-CR-01,software_engineering,deepseek_primary,6,0.0,0.5,1.0,0.5,1.0,0.5,0.0,0.5,1.0,0.5,1.0,0.5
se_creduce,SE-CR-02,software_engineering,deepseek_primary,6,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.08854166666666667,0.0,0.07291666666666667,-0.015625,-0.08854166666666667
se_delta_debugging,SE-DD-01,software_engineering,deepseek_primary,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0234375,-0.0078125,0.015625,0.0234375
se_delta_debugging,SE-DD-02,software_engineering,deepseek_primary,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.09375,0.0,-0.09375
se_perses,SE-PE-01,software_engineering,claude_opus_4_7,6,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
se_perses,SE-PE-01,software_engineering,deepseek_primary,6,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,-0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,-0.16666666666666666
se_perses,SE-PE-01,software_engineering,gpt_5_5,6,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
