kind,family,task_id,variant_id,state,reasons
controls,,AGENT-TF-01,byte_identical_identity,SanityPass,
controls,,AGENT-TF-01,destructive_core_negative,SanityFail,F_insufficient;A_F_insufficient;B_F_insufficient
controls,,AGENT-TF-01,planted_redundancy_positive,SanityFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
controls,,DATA-HDB-01,byte_identical_identity,SanityFail,hard_vector_agreement_insufficient
controls,,DATA-HDB-01,destructive_core_negative,SanityFail,F_insufficient;A_F_insufficient;B_F_insufficient
controls,,DATA-HDB-01,planted_redundancy_positive,SanityFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
controls,,NLP-LLM-01,byte_identical_identity,SanityFail,hard_vector_agreement_insufficient
controls,,NLP-LLM-01,destructive_core_negative,SanityFail,F_insufficient;A_F_insufficient;B_F_insufficient
controls,,NLP-LLM-01,planted_redundancy_positive,SanityFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
controls,,SE-PE-01,byte_identical_identity,SanityFail,hard_vector_agreement_insufficient
controls,,SE-PE-01,destructive_core_negative,SanityFail,F_insufficient;A_F_insufficient;B_F_insufficient
controls,,SE-PE-01,planted_redundancy_positive,SanityFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,alternate_reducers,AGENT-TF-01,dag_greedy_ratio_60_v1,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,alternate_reducers,AGENT-TF-01,source_window_ratio_60_v1,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,alternate_reducers,DATA-HDB-01,dag_greedy_ratio_60_v1,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,alternate_reducers,DATA-HDB-01,source_window_ratio_60_v1,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,alternate_reducers,NLP-LLM-01,dag_greedy_ratio_60_v1,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,alternate_reducers,NLP-LLM-01,source_window_ratio_60_v1,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,alternate_reducers,SE-PE-01,dag_greedy_ratio_60_v1,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,alternate_reducers,SE-PE-01,source_window_ratio_60_v1,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,structural_ladder,AGENT-TF-01,L0_primary_slice,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,structural_ladder,AGENT-TF-01,L1_mid_restore,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,structural_ladder,AGENT-TF-01,L2_near_full_strict,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,structural_ladder,DATA-HDB-01,L0_primary_slice,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,structural_ladder,DATA-HDB-01,L1_mid_restore,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,structural_ladder,DATA-HDB-01,L2_near_full_strict,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,structural_ladder,NLP-LLM-01,L0_primary_slice,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,structural_ladder,NLP-LLM-01,L1_mid_restore,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,structural_ladder,NLP-LLM-01,L2_near_full_strict,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,structural_ladder,SE-PE-01,L0_primary_slice,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,structural_ladder,SE-PE-01,L1_mid_restore,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
two_arm_pairs,structural_ladder,SE-PE-01,L2_near_full_strict,PairFail,F_insufficient;candidate_insufficient;A_F_insufficient;A_candidate_insufficient;B_F_insufficient;B_candidate_insufficient
