candidate_C_successes,candidate_any_hard_contract_failures,canonical_output_equalities,domain,failed_gates,hard_contract_vector_agreements,input_digest_matches,operational_success_agreements,paper_id,raw_response_equalities,reference_F_successes,registered_pairs,required_rows_valid,score_delta_within_0_05,state,target_binding_available,targeted_hard_contract_failures,task_id,valid_margin_pairs,variant_id
1,5,0,agent_tool_use,"[""minimum_operational_success_agreements"",""minimum_hard_contract_vector_agreements"",""minimum_score_delta_within_0_05""]",3,6,4,agent_toolformer,0,1,6,True,4,SanityFail,True,,AGENT-TF-01,,byte_identical_identity
0,6,0,agent_tool_use,"[""missing_targeted_hard_contract_binding"",""total_reference_F_successes""]",4,0,6,agent_toolformer,0,0,6,True,6,Invalid,False,,AGENT-TF-01,,destructive_core_negative
2,4,0,agent_tool_use,"[""total_reference_F_successes"",""total_candidate_C_successes"",""A_reference_F_successes"",""B_reference_F_successes"",""B_candidate_C_successes""]",2,6,4,agent_toolformer,0,0,6,True,4,SanityFail,True,,AGENT-TF-01,6,planted_redundancy_positive
0,6,0,data_analysis,[],6,6,6,data_hdbscan,0,0,6,True,6,SanityPass,True,,DATA-HDB-01,,byte_identical_identity
0,6,0,data_analysis,"[""missing_targeted_hard_contract_binding"",""total_reference_F_successes""]",6,0,6,data_hdbscan,0,0,6,True,6,Invalid,False,,DATA-HDB-01,,destructive_core_negative
0,6,0,data_analysis,"[""total_reference_F_successes"",""total_candidate_C_successes"",""A_reference_F_successes"",""A_candidate_C_successes"",""B_reference_F_successes"",""B_candidate_C_successes""]",5,6,6,data_hdbscan,0,0,6,True,5,SanityFail,True,,DATA-HDB-01,5,planted_redundancy_positive
3,3,0,nlp,"[""minimum_operational_success_agreements"",""minimum_hard_contract_vector_agreements"",""minimum_score_delta_within_0_05""]",2,6,2,nlp_llmlingua,0,5,6,True,2,SanityFail,True,,NLP-LLM-01,,byte_identical_identity
0,6,0,nlp,"[""missing_targeted_hard_contract_binding""]",1,0,1,nlp_llmlingua,0,5,6,True,0,Invalid,False,,NLP-LLM-01,,destructive_core_negative
5,1,0,nlp,[],6,6,6,nlp_llmlingua,0,5,6,True,6,SanityPass,True,,NLP-LLM-01,6,planted_redundancy_positive
1,5,0,software_engineering,"[""minimum_operational_success_agreements"",""minimum_hard_contract_vector_agreements"",""minimum_score_delta_within_0_05""]",0,6,2,se_perses,0,3,6,True,2,SanityFail,True,,SE-PE-01,,byte_identical_identity
0,6,0,software_engineering,"[""missing_targeted_hard_contract_binding"",""total_reference_F_successes""]",3,0,3,se_perses,0,3,6,True,3,Invalid,False,,SE-PE-01,,destructive_core_negative
3,3,0,software_engineering,"[""total_reference_F_successes"",""total_candidate_C_successes"",""A_reference_F_successes"",""A_candidate_C_successes""]",2,6,4,se_perses,0,3,6,True,4,SanityFail,True,,SE-PE-01,5,planted_redundancy_positive
