paper_id,domain,task_id,registered_state,total_grid_admit_profiles,total_grid_profiles,registry_oat_admit_profiles,registry_oat_profiles,margin_tolerance_admit_profiles,margin_tolerance_profiles,leave_one_block_admit_omissions,leave_one_block_omissions,all_sensitivity_states_match_registered
agent_react,agent_tool_use,AGENT-RA-01,Reject,0,81,0,9,0,5,0,6,True
agent_react,agent_tool_use,AGENT-RA-02,Reject,0,81,0,9,0,5,0,6,True
agent_reflexion,agent_tool_use,AGENT-RF-01,Reject,0,81,0,9,0,5,0,6,True
agent_reflexion,agent_tool_use,AGENT-RF-02,Reject,0,81,0,9,0,5,0,6,True
agent_toolformer,agent_tool_use,AGENT-TF-01,Reject,0,81,0,9,0,5,0,6,True
agent_toolformer,agent_tool_use,AGENT-TF-02,Reject,0,81,0,9,0,5,0,6,True
data_hdbscan,data_analysis,DATA-HDB-01,Reject,0,81,0,9,0,5,0,6,True
data_hdbscan,data_analysis,DATA-HDB-02,Reject,0,81,0,9,0,5,0,6,True
data_leiden,data_analysis,DATA-LEI-01,Reject,0,81,0,9,0,5,0,6,True
data_leiden,data_analysis,DATA-LEI-02,Admit,36,81,7,9,5,5,6,6,False
data_snapatac2,data_analysis,DATA-SNAP-01,Reject,0,81,0,9,0,5,0,6,True
data_snapatac2,data_analysis,DATA-SNAP-02,Reject,0,81,0,9,0,5,0,6,True
nlp_context_sentence_compression,nlp,NLP-CSE-01,Reject,0,81,0,9,0,5,0,6,True
nlp_context_sentence_compression,nlp,NLP-CSE-02,Reject,0,81,0,9,0,5,0,6,True
nlp_llmlingua2,nlp,NLP-LL2-01,Reject,0,81,0,9,0,5,0,6,True
nlp_llmlingua2,nlp,NLP-LL2-02,Reject,12,81,0,9,0,5,2,6,False
nlp_llmlingua,nlp,NLP-LLM-01,Reject,0,81,0,9,0,5,0,6,True
nlp_llmlingua,nlp,NLP-LLM-02,Admit,36,81,7,9,5,5,6,6,False
se_creduce,software_engineering,SE-CR-01,Reject,0,81,0,9,0,5,0,6,True
se_creduce,software_engineering,SE-CR-02,Reject,0,81,0,9,0,5,0,6,True
se_delta_debugging,software_engineering,SE-DD-01,Reject,0,81,0,9,0,5,0,6,True
se_delta_debugging,software_engineering,SE-DD-02,Reject,0,81,0,9,0,5,0,6,True
se_perses,software_engineering,SE-PE-01,Reject,0,81,0,9,0,5,0,6,True
se_perses,software_engineering,SE-PE-02,Reject,0,81,0,9,0,5,0,6,True
