outcome,contrast,domain,paper_id,observed,lower,upper,valid_pairs,registered_pairs
success,F_minus_B,agent_tool_use,agent_react,0.0,0.0,0.0,12,12
success,F_minus_B,agent_tool_use,agent_reflexion,0.0,0.0,0.0,12,12
success,F_minus_B,agent_tool_use,agent_toolformer,0.0,0.0,0.0,12,12
success,F_minus_B,data_analysis,data_hdbscan,0.0,0.0,0.0,12,12
success,F_minus_B,data_analysis,data_leiden,0.0,0.0,0.0,12,12
success,F_minus_B,data_analysis,data_snapatac2,0.0,0.0,0.0,12,12
success,F_minus_B,nlp,nlp_context_sentence_compression,0.0,0.0,0.0,12,12
success,F_minus_B,nlp,nlp_llmlingua,0.0,0.0,0.0,12,12
success,F_minus_B,nlp,nlp_llmlingua2,0.0,0.0,0.0,12,12
success,F_minus_B,software_engineering,se_creduce,0.0,0.0,0.0,12,12
success,F_minus_B,software_engineering,se_delta_debugging,0.0,0.0,0.0,12,12
success,F_minus_B,software_engineering,se_perses,0.0,0.0,0.0,12,12
success,S_minus_B,agent_tool_use,agent_react,0.0,0.0,0.0,12,12
success,S_minus_B,agent_tool_use,agent_reflexion,0.0,0.0,0.0,12,12
success,S_minus_B,agent_tool_use,agent_toolformer,0.08333333333333333,0.08333333333333333,0.08333333333333333,12,12
success,S_minus_B,data_analysis,data_hdbscan,0.0,0.0,0.0,12,12
success,S_minus_B,data_analysis,data_leiden,0.0,0.0,0.0,12,12
success,S_minus_B,data_analysis,data_snapatac2,0.0,0.0,0.0,12,12
success,S_minus_B,nlp,nlp_context_sentence_compression,0.0,0.0,0.0,12,12
success,S_minus_B,nlp,nlp_llmlingua,0.0,0.0,0.0,12,12
success,S_minus_B,nlp,nlp_llmlingua2,0.0,0.0,0.0,12,12
success,S_minus_B,software_engineering,se_creduce,0.0,0.0,0.0,12,12
success,S_minus_B,software_engineering,se_delta_debugging,0.0,0.0,0.0,12,12
success,S_minus_B,software_engineering,se_perses,0.0,0.0,0.0,12,12
success,S_minus_F,agent_tool_use,agent_react,0.0,0.0,0.0,12,12
success,S_minus_F,agent_tool_use,agent_reflexion,0.0,0.0,0.0,12,12
success,S_minus_F,agent_tool_use,agent_toolformer,0.08333333333333333,0.08333333333333333,0.08333333333333333,12,12
success,S_minus_F,data_analysis,data_hdbscan,0.0,0.0,0.0,12,12
success,S_minus_F,data_analysis,data_leiden,0.0,0.0,0.0,12,12
success,S_minus_F,data_analysis,data_snapatac2,0.0,0.0,0.0,12,12
success,S_minus_F,nlp,nlp_context_sentence_compression,0.0,0.0,0.0,12,12
success,S_minus_F,nlp,nlp_llmlingua,0.0,0.0,0.0,12,12
success,S_minus_F,nlp,nlp_llmlingua2,0.0,0.0,0.0,12,12
success,S_minus_F,software_engineering,se_creduce,0.0,0.0,0.0,12,12
success,S_minus_F,software_engineering,se_delta_debugging,0.0,0.0,0.0,12,12
success,S_minus_F,software_engineering,se_perses,0.0,0.0,0.0,12,12
score,F_minus_B,agent_tool_use,agent_react,0.0,0.0,0.0,12,12
score,F_minus_B,agent_tool_use,agent_reflexion,0.0,0.0,0.0,12,12
score,F_minus_B,agent_tool_use,agent_toolformer,0.0,0.0,0.0,12,12
score,F_minus_B,data_analysis,data_hdbscan,0.0,0.0,0.0,12,12
score,F_minus_B,data_analysis,data_leiden,0.0,0.0,0.0,12,12
score,F_minus_B,data_analysis,data_snapatac2,0.0,0.0,0.0,12,12
score,F_minus_B,nlp,nlp_context_sentence_compression,0.0,0.0,0.0,12,12
score,F_minus_B,nlp,nlp_llmlingua,0.0,0.0,0.0,12,12
score,F_minus_B,nlp,nlp_llmlingua2,0.0,0.0,0.0,12,12
score,F_minus_B,software_engineering,se_creduce,0.0,0.0,0.0,12,12
score,F_minus_B,software_engineering,se_delta_debugging,0.0,0.0,0.0,12,12
score,F_minus_B,software_engineering,se_perses,0.0,0.0,0.0,12,12
score,S_minus_B,agent_tool_use,agent_react,0.0,0.0,0.0,12,12
score,S_minus_B,agent_tool_use,agent_reflexion,0.0,0.0,0.0,12,12
score,S_minus_B,agent_tool_use,agent_toolformer,0.08333333333333333,0.08333333333333333,0.08333333333333333,12,12
score,S_minus_B,data_analysis,data_hdbscan,0.0,0.0,0.0,12,12
score,S_minus_B,data_analysis,data_leiden,0.0,0.0,0.0,12,12
score,S_minus_B,data_analysis,data_snapatac2,0.0,0.0,0.0,12,12
score,S_minus_B,nlp,nlp_context_sentence_compression,0.0,0.0,0.0,12,12
score,S_minus_B,nlp,nlp_llmlingua,0.0,0.0,0.0,12,12
score,S_minus_B,nlp,nlp_llmlingua2,0.0,0.0,0.0,12,12
score,S_minus_B,software_engineering,se_creduce,0.0,0.0,0.0,12,12
