paper_id,domain,contrast,endpoint,task_ids,task_effects,effect,registered_pairs,valid_pairs,raw_block_min,raw_block_max
agent_react,agent_tool_use,F_minus_B,operational_success,"[""AGENT-RA-01"",""AGENT-RA-02""]","[0.5,0.3333333333333333]",0.41666666666666663,12,12,0.0,1.0
agent_react,agent_tool_use,F_minus_B,private_score,"[""AGENT-RA-01"",""AGENT-RA-02""]","[0.3958333333333333,0.3333333333333333]",0.3645833333333333,12,12,0.0,1.0
agent_react,agent_tool_use,S_minus_B,operational_success,"[""AGENT-RA-01"",""AGENT-RA-02""]","[0.5,0.0]",0.25,12,12,0.0,1.0
agent_react,agent_tool_use,S_minus_B,private_score,"[""AGENT-RA-01"",""AGENT-RA-02""]","[0.4973958333333333,0.0]",0.24869791666666666,12,12,0.0,1.0
agent_react,agent_tool_use,S_minus_F,operational_success,"[""AGENT-RA-01"",""AGENT-RA-02""]","[0.0,-0.3333333333333333]",-0.16666666666666666,12,12,-1.0,1.0
agent_react,agent_tool_use,S_minus_F,private_score,"[""AGENT-RA-01"",""AGENT-RA-02""]","[0.1015625,-0.3333333333333333]",-0.11588541666666666,12,12,-1.0,1.0
agent_reflexion,agent_tool_use,F_minus_B,operational_success,"[""AGENT-RF-01"",""AGENT-RF-02""]","[0.0,0.0]",0.0,12,12,0.0,0.0
agent_reflexion,agent_tool_use,F_minus_B,private_score,"[""AGENT-RF-01"",""AGENT-RF-02""]","[0.1171875,0.015625]",0.06640625,12,12,-0.5,0.59375
agent_reflexion,agent_tool_use,S_minus_B,operational_success,"[""AGENT-RF-01"",""AGENT-RF-02""]","[0.3333333333333333,0.0]",0.16666666666666666,12,12,0.0,1.0
agent_reflexion,agent_tool_use,S_minus_B,private_score,"[""AGENT-RF-01"",""AGENT-RF-02""]","[0.5260416666666666,-0.08333333333333333]",0.22135416666666666,12,12,-0.5,1.0
agent_reflexion,agent_tool_use,S_minus_F,operational_success,"[""AGENT-RF-01"",""AGENT-RF-02""]","[0.3333333333333333,0.0]",0.16666666666666666,12,12,0.0,1.0
agent_reflexion,agent_tool_use,S_minus_F,private_score,"[""AGENT-RF-01"",""AGENT-RF-02""]","[0.4088541666666667,-0.09895833333333333]",0.15494791666666669,12,12,-0.59375,1.0
agent_toolformer,agent_tool_use,F_minus_B,operational_success,"[""AGENT-TF-01"",""AGENT-TF-02""]","[0.16666666666666666,-0.16666666666666666]",0.0,12,12,-1.0,1.0
agent_toolformer,agent_tool_use,F_minus_B,private_score,"[""AGENT-TF-01"",""AGENT-TF-02""]","[0.16666666666666666,-0.16666666666666666]",0.0,12,12,-1.0,1.0
agent_toolformer,agent_tool_use,S_minus_B,operational_success,"[""AGENT-TF-01"",""AGENT-TF-02""]","[0.0,0.0]",0.0,12,12,0.0,0.0
agent_toolformer,agent_tool_use,S_minus_B,private_score,"[""AGENT-TF-01"",""AGENT-TF-02""]","[0.0,0.0]",0.0,12,12,0.0,0.0
agent_toolformer,agent_tool_use,S_minus_F,operational_success,"[""AGENT-TF-01"",""AGENT-TF-02""]","[-0.16666666666666666,0.16666666666666666]",0.0,12,12,-1.0,1.0
agent_toolformer,agent_tool_use,S_minus_F,private_score,"[""AGENT-TF-01"",""AGENT-TF-02""]","[-0.16666666666666666,0.16666666666666666]",0.0,12,12,-1.0,1.0
data_hdbscan,data_analysis,F_minus_B,operational_success,"[""DATA-HDB-01"",""DATA-HDB-02""]","[0.0,0.0]",0.0,12,12,0.0,0.0
data_hdbscan,data_analysis,F_minus_B,private_score,"[""DATA-HDB-01"",""DATA-HDB-02""]","[-0.1875,0.0]",-0.09375,12,12,-0.875,0.625
data_hdbscan,data_analysis,S_minus_B,operational_success,"[""DATA-HDB-01"",""DATA-HDB-02""]","[0.0,0.0]",0.0,12,12,0.0,0.0
data_hdbscan,data_analysis,S_minus_B,private_score,"[""DATA-HDB-01"",""DATA-HDB-02""]","[0.10416666666666667,0.0]",0.052083333333333336,12,12,0.0,0.625
data_hdbscan,data_analysis,S_minus_F,operational_success,"[""DATA-HDB-01"",""DATA-HDB-02""]","[0.0,0.0]",0.0,12,12,0.0,0.0
data_hdbscan,data_analysis,S_minus_F,private_score,"[""DATA-HDB-01"",""DATA-HDB-02""]","[0.2916666666666667,0.0]",0.14583333333333334,12,12,0.0,0.875
data_leiden,data_analysis,F_minus_B,operational_success,"[""DATA-LEI-01"",""DATA-LEI-02""]","[0.16666666666666666,0.6666666666666666]",0.41666666666666663,12,12,0.0,1.0
