Paper,Variant,Coverage score,Normalized coverage,Estimated input tokens,Coverage per 1k tokens,Normalized coverage per 1k tokens,Estimated input cost
AI Scientist-v2,Generated skill,7.867/9,0.8741,1366,5.759,0.64,0.001366
AI Scientist-v2,Generic summary,1.733/9,0.1926,262,6.615,0.735,0.000262
AI Scientist-v2,Abstract-only,1.2/9,0.1333,174,6.897,0.766,0.000174
Reflexion,Generated skill,8.267/9,0.9186,823,10.045,1.116,0.000823
Reflexion,Generic summary,3.483/9,0.387,186,18.726,2.081,0.000186
Reflexion,Abstract-only,2.533/9,0.2814,94,26.947,2.994,0.000094
AIDE,Generated skill,9.1/10,0.91,1517,5.999,0.6,0.001517
AIDE,Generic summary,1.916/10,0.1916,152,12.605,1.261,0.000152
AIDE,Abstract-only,1.333/10,0.1333,83,16.06,1.606,0.000083
Toolformer,Generated skill,8.9/10,0.89,1526,5.832,0.583,0.001526
Toolformer,Generic summary,2.5/10,0.25,128,19.531,1.953,0.000128
Toolformer,Abstract-only,1.534/10,0.1534,66,23.242,2.324,0.000066
