task_id,model_family,model_alias,condition,task_score,success,tokens,attempts,failure_reason,run_id,output_path
AIDE-T2,GPT-family,gpt-5.5,summary,0.814,True,7788,2,,phase109_llm_ablation_gpt_5_5_aide_t2,results/real_reuse/runs/AIDE-T2/summary/phase109_llm_ablation_gpt_5_5_aide_t2/candidate_solution.py
AIDE-T2,GPT-family,gpt-5.5,papertoskill,0.000,False,8714,1,timeout after 300s,phase109_llm_ablation_gpt_5_5_aide_t2,results/real_reuse/runs/AIDE-T2/papertoskill/phase109_llm_ablation_gpt_5_5_aide_t2/candidate_solution.py
AIDE-T2,DeepSeek-family,deepseek-v4-flash,summary,0.500,False,1664,1,,phase109_llm_ablation_deepseek_v4_flash_aide_t2,results/real_reuse/runs/AIDE-T2/summary/phase109_llm_ablation_deepseek_v4_flash_aide_t2/candidate_solution.py
AIDE-T2,DeepSeek-family,deepseek-v4-flash,papertoskill,0.500,False,3350,1,,phase109_llm_ablation_deepseek_v4_flash_aide_t2,results/real_reuse/runs/AIDE-T2/papertoskill/phase109_llm_ablation_deepseek_v4_flash_aide_t2/candidate_solution.py
SWE-T2,GPT-family,gpt-5.5,summary,0.000,False,5310,1,patch_apply_failed,phase109_llm_ablation_gpt_5_5_swe_t2,results/real_reuse/runs/SWE-T2/summary/phase109_llm_ablation_gpt_5_5_swe_t2/candidate.patch
SWE-T2,GPT-family,gpt-5.5,papertoskill,0.000,False,8053,1,patch_apply_failed,phase109_llm_ablation_gpt_5_5_swe_t2,results/real_reuse/runs/SWE-T2/papertoskill/phase109_llm_ablation_gpt_5_5_swe_t2/candidate.patch
SWE-T2,DeepSeek-family,deepseek-v4-flash,summary,0.000,False,988,1,patch_apply_failed,phase109_llm_ablation_deepseek_v4_flash_swe_t2,results/real_reuse/runs/SWE-T2/summary/phase109_llm_ablation_deepseek_v4_flash_swe_t2/candidate.patch
SWE-T2,DeepSeek-family,deepseek-v4-flash,papertoskill,0.000,False,3210,1,patch_apply_failed,phase109_llm_ablation_deepseek_v4_flash_swe_t2,results/real_reuse/runs/SWE-T2/papertoskill/phase109_llm_ablation_deepseek_v4_flash_swe_t2/candidate.patch
REF-T2,GPT-family,gpt-5.5,summary,1.000,True,5171,1,,phase109_llm_ablation_gpt_5_5_ref_t2,results/real_reuse/runs/REF-T2/summary/phase109_llm_ablation_gpt_5_5_ref_t2/response.txt
REF-T2,GPT-family,gpt-5.5,papertoskill,1.000,True,5655,1,,phase109_llm_ablation_gpt_5_5_ref_t2,results/real_reuse/runs/REF-T2/papertoskill/phase109_llm_ablation_gpt_5_5_ref_t2/response.txt
REF-T2,DeepSeek-family,deepseek-v4-flash,summary,1.000,True,1057,1,,phase109_llm_ablation_deepseek_v4_flash_ref_t2,results/real_reuse/runs/REF-T2/summary/phase109_llm_ablation_deepseek_v4_flash_ref_t2/response.txt
REF-T2,DeepSeek-family,deepseek-v4-flash,papertoskill,1.000,True,1493,1,,phase109_llm_ablation_deepseek_v4_flash_ref_t2,results/real_reuse/runs/REF-T2/papertoskill/phase109_llm_ablation_deepseek_v4_flash_ref_t2/response.txt
