paper_id,domain,task_id,state,primary_reject_reason,failed_reason_groups,failed_gates,B_successes,F_successes,S_successes,valid_margin_blocks,A_B_successes,A_F_successes,A_S_successes,A_valid_margin_blocks,B_B_successes,B_F_successes,B_S_successes,B_valid_margin_blocks
agent_react,agent_tool_use,AGENT-RA-01,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient"",""margin-shortfall""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""total_valid_margin_blocks_>=_5"",""A_F_successes_>=_2"",""B_S_successes_>=_2"",""B_valid_margin_blocks_>=_2""]",0,3,3,4,0,1,3,3,0,2,0,1
agent_react,agent_tool_use,AGENT-RA-02,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient"",""margin-shortfall""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""total_valid_margin_blocks_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,2,0,4,0,1,0,2,0,1,0,2
agent_reflexion,agent_tool_use,AGENT-RF-01,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,0,2,5,0,0,1,2,0,0,1,3
agent_reflexion,agent_tool_use,AGENT-RF-02,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,0,0,5,0,0,0,2,0,0,0,3
agent_toolformer,agent_tool_use,AGENT-TF-01,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,1,0,5,0,0,0,3,0,1,0,2
agent_toolformer,agent_tool_use,AGENT-TF-02,Reject,baseline-sensitive,"[""baseline-sensitive""]","[""total_B_successes_<=_1"",""A_B_successes_<=_1"",""B_B_successes_<=_1""]",6,5,6,6,3,3,3,3,3,2,3,3
data_hdbscan,data_analysis,DATA-HDB-01,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,0,0,6,0,0,0,3,0,0,0,3
data_hdbscan,data_analysis,DATA-HDB-02,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,0,0,6,0,0,0,3,0,0,0,3
data_leiden,data_analysis,DATA-LEI-01,Reject,full-insufficient,"[""full-insufficient"",""slice-insufficient"",""margin-shortfall""]","[""total_F_successes_>=_5"",""total_S_successes_>=_5"",""total_valid_margin_blocks_>=_5"",""A_F_successes_>=_2"",""A_S_successes_>=_2"",""A_valid_margin_blocks_>=_2"",""B_F_successes_>=_2"",""B_S_successes_>=_2""]",0,1,1,3,0,0,0,1,0,1,1,2
data_leiden,data_analysis,DATA-LEI-02,Admit,,[],[],1,5,6,6,0,3,3,3,1,2,3,3
