global_sequence_index,hard_contract_vector,result_source_sha256,source_endpoint_verified
1,"[true,false]",0dcccaf5953d7ff547b9f604b89f812fba8b01794afb4bdcffaba38901c16017,True
2,"[true,true]",90485796b9a4e8b76b980f05454518a92cb8d189a63eb6ccfbf0827fa4007acf,True
3,"[true,true]",00f4f08b17f037c4a0b727ad72defa1f7f185c54091d677e2132816a4f8e1b0c,True
4,"[false,false]",42408afe56be00e0d95494a093608f848abfca7dc472c89c897808fad4df41b7,True
5,"[true,true]",952422d3782abc67c98e4f390e79198c61c0fbb09791a996b074652411181a42,True
6,"[true,false]",26582f0aab3946dce62171b5ca772bb79edc88510ca0db3c7a556c38b5ea0a71,True
7,"[true,true]",6b7f0543e3d09392cb4c66c039b39fbe8082a2b8666b34c2bf2bdf52031e92e9,True
8,"[true,false]",ab1ee30d03b48d9adc712328d8047474399513a0ff74efa3904f979529e9139c,True
9,"[false,false]",a8965fb032ddf50b1da16dfee31acaf8deba8c9f8e096e37fa88dd4a2cc95885,True
10,"[true,false]",4160ef6ee32e98988118ca553eee0ba0916f8dd02bb7f82f491feb965a66d8a4,True
11,"[true,true]",f0ecdb29e95c5936bc45c7fef5945be6f501e0e838c66755b28170093fa50d09,True
12,"[true,false]",09912afeaa1d312d8d6a338e30c7a3fd05be38d0a7aaaf169cb76ba1252156b8,True
13,"[true,true]",57d2b786f9fd0da128dfea10f05990d109624bcca1d4de73109d19dc8d0a1abe,True
14,"[true,false]",2afb1f3a3cc45d9d74b75d3b55cfeeba0c31c009507cdfde0033144afd56ac4c,True
15,"[true,true]",2aab20384a72d27a4d8b7f20f540481851fdb9d2ffe2453004b1cc603232a997,True
16,"[true,true]",f92d41d26e24e6f71d96732bf8c67bea4023f544aeec34c075ab36c469b3c359,True
17,"[true,true]",d5e39c6c630531d9341c845b71c12c0f0f2ebe785d4ec8208c064f1409c88578,True
18,"[true,false]",7441688af9d457280f1f92a19e7bc01b46d4b6770b8c84f3067390dcd6b6223b,True
19,"[true,false]",dcb85260b6207944a94639e16a24be8b6d3ab896bf76c6b3b619fac94a8d2fce,True
20,"[false,false]",13694bbeac331ea48b8eab92a74527367beb08bd8d0a2330ede094f8a3545520,True
21,"[true,false]",eeed154feee6ba52a1929d91664f24e0696a850dee0c75628ce102d8dc5eef56,True
22,"[false,false]",066da6b59829bad094961ffa8c9b5d1509f133c05658d5377e55b62ab2fe28fd,True
23,"[true,false]",d561d03faa02407fa0ad7cbdd11d454b659daaecf0c87a99ca4b1af7aa891768,True
24,"[true,false]",9f45f15c2cfdf882b76d98a6b780290277ec27d164d7789c101ef39260b2f053,True
25,"[false,false]",f27f27a006230bdb5e6238c46a2168e59e52dc6e537333b9fa5a6e90ac0156ef,True
26,"[true,false]",39bf1bca055d9fe63b677798082eb270bccbcf7ce699364fc6e520a0ed9ce96d,True
27,"[false,false]",7fdd70c9059a993de50d804e24a2ec29068ca55c22e9435927859df56582e6f2,True
28,"[true,false]",9f0505493cd46f9b4632a04481ab9f2b7bfdf8c3a552a8d6928e972797e60341,True
29,"[false,false]",3f8965d287167c15b0e9e91098065ccfc7305db135f109e4cabd9d55c8e62d1b,True
30,"[false,false]",350886bdaa454213d42f97769954fb3144a809c59c0738de113938753eacc83f,True
31,"[false,false]",10dc310a22a29dfff95e4528d8c97f4f8cc379f2f37711f4750142f712c2741b,True
32,"[true,false]",52b0cc91516adb8798f2adcbd1d62356762d2d24152feb2a8e9b275b80b69a42,True
33,"[false,false]",34c3b64df6fe475f60c2b4836b320383b995c2415c888fb44c4ec48e044c3371,True
34,"[false,false]",89d368926a870d4bfa2831837530257203a593d50735a8473b96ff4288baf710,True
35,"[false,false]",2b9c7990cd53f421f4a79b4fcbcd8590c07324b3125f9150112e50ff5ca24c17,True
36,"[false,false]",026adcc8c9ebb412e3a769ddfb6f984441e64c89ebfc5a151e72a369c50fad04,True
37,"[true,false]",21c939ddbb4c4c6a831d0ad9e5fe89058723cf6599df39dde6bb51ecfeb41c2b,True
