domain,arm_id,rows,operational_success,hard_contract_failure,score_shortfall,technical_or_invalid,success_rate,mean_private_score,hard_vector_0_pass,hard_vector_1_pass,mean_elapsed_ms,mean_provider_total_tokens
agent_tool_use,F,2,1,1,0,0,0.5,0.5,2,1,11461.0,3503.5
agent_tool_use,S,2,2,0,0,0,1.0,1.0,2,2,8750.0,3017.5
agent_tool_use,F_drop_critical,2,0,2,0,0,0.0,0.0,2,0,9805.0,3221.5
agent_tool_use,F_drop_noncritical,2,0,2,0,0,0.0,0.0,2,0,26226.5,5909.5
agent_tool_use,S_restore_critical,2,0,2,0,0,0.0,0.0,2,0,19914.5,4343.0
agent_tool_use,S_restore_noncritical,2,1,1,0,0,0.5,0.5,2,1,13148.5,3633.0
data_analysis,F,2,0,2,0,0,0.0,0.796875,2,0,14374.5,3794.0
data_analysis,S,2,0,2,0,0,0.0,0.796875,2,0,17234.5,4010.5
data_analysis,F_drop_critical,2,0,2,0,0,0.0,0.796875,2,0,25929.5,5200.0
data_analysis,F_drop_noncritical,2,0,2,0,0,0.0,0.359375,1,0,9898.0,3161.0
data_analysis,S_restore_critical,2,0,2,0,0,0.0,0.796875,2,0,15844.0,3786.5
data_analysis,S_restore_noncritical,2,0,2,0,0,0.0,0.796875,2,0,19882.5,4345.0
nlp,F,2,2,0,0,0,1.0,1.0,2,2,28914.0,5139.5
nlp,S,2,2,0,0,0,1.0,1.0,2,2,15891.0,3103.5
nlp,F_drop_critical,2,2,0,0,0,1.0,1.0,2,2,37422.0,6051.5
nlp,F_drop_noncritical,2,2,0,0,0,1.0,1.0,2,2,31241.5,5803.5
nlp,S_restore_critical,2,2,0,0,0,1.0,1.0,2,2,33375.5,5228.0
nlp,S_restore_noncritical,2,2,0,0,0,1.0,1.0,2,2,24812.0,3908.5
software_engineering,F,2,1,0,0,1,0.5,0.5,1,1,57804.5,8864.5
software_engineering,S,2,1,1,0,0,0.5,0.5,2,1,55117.0,8204.0
software_engineering,F_drop_critical,2,1,0,0,1,0.5,0.5,1,1,81297.0,9458.5
software_engineering,F_drop_noncritical,2,2,0,0,0,1.0,1.0,2,2,39391.0,5882.5
software_engineering,S_restore_critical,2,0,2,0,0,0.0,0.0,2,0,45750.0,6451.0
software_engineering,S_restore_noncritical,2,2,0,0,0,1.0,1.0,2,2,40406.5,5942.5
