task_id,model_slot_id,candidate_state,candidate_reasons,fi_valid_pairs,fi_score_median_delta,fi_score_maximum_delta,fi_success_agreements,fi_hard_vector_agreements
AGENT-TF-01,claude_opus_4_7,Invalid,invalid_terminal_row,4,0.0,0.0,4,3
AGENT-TF-01,gpt_5_5,Reject,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,0.0,0.0,6,5
AGENT-TF-01,gpt_5_6_luna,Invalid,invalid_terminal_row,0,,,0,0
AGENT-TF-01,gpt_5_6_sol,Reject,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,0.0,0.0,6,5
AGENT-TF-01,gpt_5_6_terra,Invalid,invalid_terminal_row,1,0.0,0.0,1,1
DATA-HDB-01,claude_opus_4_7,Reject,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,0.0,0.0,6,5
DATA-HDB-01,gpt_5_5,Reject,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,0.0,0.0,6,6
DATA-HDB-01,gpt_5_6_luna,Invalid,invalid_terminal_row,0,,,0,0
DATA-HDB-01,gpt_5_6_sol,Reject,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,0.0,0.890625,6,6
DATA-HDB-01,gpt_5_6_terra,Reject,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,0.0,0.859375,6,6
NLP-LLM-01,claude_opus_4_7,Invalid,invalid_terminal_row,6,0.0,0.0,6,5
NLP-LLM-01,gpt_5_5,Reject,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,0.0,0.0,6,5
NLP-LLM-01,gpt_5_6_luna,Invalid,invalid_terminal_row,0,,,0,0
NLP-LLM-01,gpt_5_6_sol,Reject,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient,6,0.0,0.0,6,5
NLP-LLM-01,gpt_5_6_terra,Reject,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,0.0,0.0,6,4
SE-PE-01,claude_opus_4_7,Reject,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,0.0,0.0,6,1
SE-PE-01,gpt_5_5,Reject,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,0.0,0.0,6,5
SE-PE-01,gpt_5_6_luna,Invalid,invalid_terminal_row,0,,,0,0
SE-PE-01,gpt_5_6_sol,Reject,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,0.0,0.0,6,6
SE-PE-01,gpt_5_6_terra,Reject,F_insufficient;A_F_insufficient;B_F_insufficient;S_insufficient;A_S_insufficient;B_S_insufficient,6,0.0,0.0,6,6
